ccdB_K12_t30 ccdB_K12_t60 ccdB_K12_t90 lacZ_K12_t30 lacZ_K12_t60 lacZ_K12_t90 lacZ_MG1063_t0 lacZ_MG1063_t30 lacZ_MG1063_t60 lacZ_MG1063_t90 lacZ_MG1063_120 ccdB_MG1063_t0 ccdB_MG1063_t30 ccdB_MG1063_t60 lacZ_W1863_t30 lacZ_W1863_t60 lacZ_W1863_t90 ccdB_W1872_t0 ccdB_W1872_t30 ccdB_W1872_t60 ccdB_W1872_t90 M9_K_arcA_anaerobic M9_K_oxyR_anaerobic M9_K_soxS_anaerobic fnr_wtAnaerobic cybr_N_log MG1063_uninduced_t0 MG1063_uninduced_t60 norfloxacin_MG1063_t30 norfloxacin_MG1063_t60 norfloxacin_chelator_MG1063_t0 BW25113_uninduced_t30 BW25113_uninduced_t60 BW25113recA_uninduced_t0 BW25113recA_uninduced_t30 BW25113recA_uninduced_t60 ph5.7_anaerobic ph7_anaerobic ph8.5_anaerobic MG1655_t150_aerobic MG1655_t86400_cecum suspension_4hr TG1_pBS_Kan_H_prod TG1_pBS_Kan_Synhox_H_prod rb_del_rpoS_biofilm rb_wt_biofilm rb_del_rpoS_exponential HU_wt_LB_exp HU_wt_LB_trans HU_hupA_LB_trans HU_hupB_LB_exp bform_biofilm_maturation Fp_K12_exp Fp_MG1655_biofilm Fp_MG1655_pBR322_biofilm
b1336 6.7346301078796 6.8196802139282 6.8506999015808 6.8412299156189 6.894700050354 6.9562201499939 6.6502799987793 6.5767250061035 6.6826550960541 6.67733502388 6.748770236969 6.6056649684906 6.6560401916504 6.7782249450684 6.7944798469543 6.9300298690796 6.8027300834656 6.6574997901917 6.5800399780273 6.7089700698853 6.6983699798584 6.7706732749939 6.6758934656779 6.7453700701396 7.3657299677531 7.1636350154877 6.6023797988892 6.8334498405457 6.6198301315308 6.6452498435974 6.6670398712158 6.5964198112488 6.547110080719 6.903450012207 6.9053301811218 6.8248600959778 6.7818279266357 6.9330480575562 7.0974660873413 6.7592751979828 7.2558919906616 6.8257699012756 6.5783200263977 6.7224202156067 6.7445766131083 6.9356732368469 7.0709832509359 6.7886800765991 6.8115501403809 6.5065698623657 6.8779501914978 7.8807134628296 8.1674199104309 8.1979298591614 8.3098265329997
b0715 9.0802803039551 9.0061597824097 9.1238603591919 8.8682298660278 8.947190284729 9.1139698028564 8.4373350143433 8.0697798728943 8.4647150039673 8.6841549873352 8.6866397857666 8.1286602020264 8.2305498123169 8.3716197013855 8.3480596542358 8.5528001785278 9.2478704452515 8.3507499694824 8.2973098754883 8.7292804718018 8.4782800674438 7.9951599438985 8.2603530883789 8.0881897608439 8.2318801879883 8.594334602356 8.1291999816895 8.3707895278931 8.6539001464844 8.2558898925781 7.9784598350525 8.7382898330688 9.113450050354 8.3909196853638 8.0790596008301 8.4396295547485 8.1375020980835 8.1275218963623 7.9790639877319 8.1725149154663 8.5625379562378 8.1207304000854 8.5231895446777 8.2680196762085 8.5500497817993 8.8094733556112 8.3507099151611 8.8759899139404 8.6245698928833 8.6056499481201 8.9240398406982 8.2645131746928 8.6402597427368 8.372836748759 8.1000898679097
b0185 9.5560302734375 9.4594402313232 9.5113096237183 9.8189697265625 9.5902700424194 9.6177701950073 9.9955997467041 9.9505553245544 9.6798000335693 9.6026749610901 9.5819902420044 10.009209632874 10.199500083923 10.193600177765 9.8905897140503 9.5998802185059 9.2186298370361 10.01220035553 9.8273897171021 9.6193704605103 9.5990200042725 9.9087934494019 10.067603111267 10.157400131226 9.8349135716756 9.9266600608826 10.185600280762 10.091899871826 9.6552000045776 10.123000144958 10.147199630737 8.8517503738403 9.1817197799683 9.8884601593018 9.9110898971558 9.7127504348755 9.2764738082886 9.5924118041992 9.7172740936279 10.088950157166 8.8754558563232 9.0754899978638 9.423529624939 8.9833498001099 9.1320031483968 8.3033798535665 9.3225933710734 9.5432553291321 9.2284498214722 9.481499671936 9.4447498321533 9.7232465744019 9.6544451713562 8.6804234186808 8.9936599731445
b3255 11.295999526978 11.137900352478 10.536199569702 11.380900382996 10.696299552917 10.491900444031 11.986249923706 11.612199783325 11.294800281525 11.292550086975 10.986300468445 11.925750255585 11.739899635315 11.221049785614 11.434000015259 10.831700325012 10.599200248718 11.620699882507 11.207500457764 10.899700164795 10.340399742126 11.161066691081 11.458833376567 11.342166582743 11.056233406067 11.502349853516 11.88570022583 11.476699829102 11.760600090027 11.233200073242 11.85509967804 11.616100311279 10.909199714661 11.54909992218 11.673000335693 11.256899833679 10.827820014954 11.012820053101 11.978520011902 11.629549980164 9.582998085022 9.7926301956177 9.8049697875977 9.7926397323608 10.148026784261 9.5770133336385 10.276899973551 10.751599788666 10.421600341797 10.684200286865 10.532600402832 9.6782166163127 9.3108749389648 9.6692266464233 10.078513145447
b3256 9.6986904144287 9.2671098709106 8.923210144043 9.792929649353 9.3425598144531 9.2231702804565 10.674250125885 10.18424987793 9.91268491745 9.8967151641846 9.6069297790527 10.566299915314 10.397150039673 9.8744397163391 10.125699996948 9.6238698959351 9.1688003540039 10.203900337219 9.890040397644 9.8319597244263 9.4229297637939 10.004306475321 10.183266639709 10.233266830444 10.044403394063 10.608500003815 10.740200042725 10.096699714661 10.42710018158 10.08930015564 10.310899734497 9.833740234375 8.9798498153687 10.201199531555 10.19909954071 9.7655696868896 8.8632520675659 9.0212581634521 10.060723876953 10.127000331879 8.1955457687378 8.7313299179077 9.0488395690918 9.0986604690552 9.1595497131348 8.4805599848429 9.2368199030558 10.001194953918 9.5659503936768 9.927020072937 9.6549396514893 10.238543192546 8.8853249549866 8.6207699775696 8.8481033643087
b2316 10.053600311279 10.149000167847 10.434499740601 10.023300170898 10.109700202942 9.989520072937 10.693300247192 10.544849872589 10.339449882507 10.363949775696 10.402400016785 10.804450035095 10.717700004578 10.65355014801 10.69789981842 10.426600456238 10.203700065613 10.888600349426 10.679200172424 10.214200019836 10.01609992981 10.358633359273 10.425800005595 10.484533309937 10.566300074259 10.712850093842 10.523900032043 10.457799911499 10.617899894714 10.468099594116 10.591600418091 10.232399940491 10.030400276184 10.428199768066 10.503700256348 10.191800117493 9.8587518692017 10.239379882812 10.250480079651 10.64015007019 9.4100839614868 9.4255504608154 9.6772804260254 9.6685695648193 9.9572436014811 9.0026865005493 9.5663032531738 9.776439666748 9.5601797103882 9.9073896408081 9.4043703079224 10.403233528137 8.9538202285767 8.5442101160685 9.6684331893921
b4015 7.3632102012634 7.3444800376892 7.6437702178955 7.4415102005005 7.9405298233032 7.5476198196411 9.5748796463013 9.7175250053406 9.920045375824 10.150849819183 10.060799598694 9.3961052894592 8.9746799468994 8.4178352355957 10.759499549866 10.642399787903 10.926899909973 9.9298601150513 9.3659601211548 9.6864004135132 9.6530199050903 12.064933458964 10.113470395406 10.512200037638 9.2936267852783 10.150049686432 10.348299980164 10.298100471497 9.9312696456909 9.2705202102661 10.491299629211 11.363900184631 10.185799598694 9.338680267334 10.531999588013 10.91219997406 9.638228225708 9.8440198898315 11.432259941101 8.9484753608704 9.7431781768799 13.315899848938 7.5103101730347 7.1468200683594 9.7226098378499 8.6712436676025 11.898300170898 7.6959249973297 8.8916501998901 7.847119808197 7.7495098114014 9.8678735097249 10.198339939117 8.9334834416707 8.14191309611
b4014 7.6561899185181 7.5756797790527 7.7018899917603 7.6235098838806 7.6976299285889 7.7910299301147 10.097549915314 9.9358248710632 10.205550193787 10.554150104523 10.382300376892 9.8642449378967 9.3435697555542 9.0146751403809 10.980999946594 11.151300430298 11.423600196838 10.069800376892 9.6962404251099 10.206500053406 10.341199874878 12.580499966939 11.176933288574 11.3240331014 9.7920999526978 10.932799816132 10.457099914551 10.26220035553 10.180700302124 9.5775899887085 10.755299568176 11.337200164795 10.989399909973 9.3877696990967 10.547499656677 10.627499580383 10.829500007629 10.486739730835 11.794759941101 9.9539699554443 11.253920173645 13.512299537659 7.7409901618958 6.7483701705933 11.373833656311 9.9923531214396 12.480633417765 7.6412699222565 8.2338800430298 7.6689400672913 7.6161098480225 10.100496610006 10.072545051575 9.0826733907064 8.2934233347575
b0114 12.607199668884 9.6301403045654 11.780200004578 12.770600318909 11.880599975586 12.521300315857 11.783599853516 12.11440038681 12.222499847412 12.565550327301 12.663800239563 11.662600040436 12.363699913025 12.082050323486 11.670599937439 12.575699806213 12.522700309753 12.55060005188 12.319299697876 12.831700325012 12.950099945068 12.479400316874 11.563966751099 11.692633310954 10.256499926249 10.839150428772 11.09819984436 11.583299636841 11.437100410461 11.668399810791 11.021599769592 10.755100250244 13.086500167847 12.039799690247 12.785799980164 12.957599639893 9.9298000335693 9.472260093689 11.070219993591 12.456749916077 9.7983798980713 11.522500038147 9.3025398254395 11.311200141907 10.91833337148 8.9579331080119 11.454700152079 11.742349624634 12.63720035553 12.870800018311 11.810899734497 9.9224033355713 10.008515357971 9.6003967920939 10.514456748962
b0115 12.409199714661 9.144889831543 11.611800193787 12.480999946594 11.578000068665 12.226799964905 11.79584980011 12.188300132751 12.373600006104 12.584650039673 12.760100364685 11.740300178528 12.208849906921 11.919700145721 11.347599983215 12.585599899292 12.618700027466 12.536199569702 12.36009979248 12.883099555969 12.92290019989 12.267133076986 11.136333465576 11.427533467611 10.112033208211 10.636950016022 10.803099632263 11.510999679565 11.35089969635 11.486000061035 10.606699943542 10.116700172424 12.851499557495 12.05449962616 12.831100463867 13.119099617004 9.6182680130005 9.1163478851318 10.390260124207 12.332350254059 9.7895479202271 11.434200286865 9.9308395385742 11.581299781799 10.889166514079 8.8027731577555 11.286533673604 11.709650039673 12.589099884033 13.007800102234 11.969099998474 9.8226766586304 10.114974975586 9.2316735585531 10.360013326009
